method,metric,mathematics,physics,computer_science,statistics,economics,biology,macro_average
centralized,eval_loss,1.211488696709691,1.965234968354095,1.845074496010807,2.01992439672402,2.256941528874978,2.534734688859012,1.9722331292554338
centralized,perplexity,3.3584806919883174,7.136589265801506,6.328571226152267,7.537755033144979,9.55382434088431,12.613084012369436,7.754717428390136
centralized,rouge1,0.21503794852288738,0.17777509991557638,0.2065919203297871,0.16697153970762135,0.1593246257248736,0.14363535192119753,0.17822274768699056
centralized,rouge2,0.07789290502140057,0.04047644002758681,0.052507913943409694,0.03649976892939252,0.03156362838298985,0.023607245566148117,0.0437579836451546
centralized,rougeL,0.1642095354286867,0.1311690366625043,0.1420907021815414,0.11824747265936539,0.11317770553893221,0.10266944375708525,0.1285939827046859
centralized,avg_generation_tokens,119.315,411.17,226.905,332.95,429.93,475.835,332.68416666666667
centralized,eos_rate,0.92,0.515,0.77,0.625,0.49,0.42,0.6233333333333334
centralized,max_tokens_rate,0.08,0.485,0.23,0.375,0.51,0.58,0.37666666666666665
