method,metric,mathematics,physics,computer_science,statistics,economics,biology,macro_average
base,eval_loss,2.141715136800482,2.8392654422176857,2.8270141846102765,2.9308555682804553,3.1430459910280177,3.4529887823575582,2.889147517549079
base,perplexity,8.51402783567046,17.103197634860628,16.894940266887367,18.74366011953459,23.174348318338918,31.59468095947577,19.337475855794622
base,rouge1,0.31670650311700294,0.31052110764370366,0.30262936146732256,0.2904313193154098,0.29149432223499766,0.28181470091840627,0.29893288578280713
base,rouge2,0.11437396280361706,0.08187231202064041,0.07514024139302591,0.06972841203010469,0.06158900977484927,0.05218269826979547,0.07581443938200547
base,rougeL,0.19985362343170276,0.16334338805326812,0.1610739754417039,0.14856417238294525,0.14406371201904777,0.13784525305633344,0.15912402073083354
base,avg_generation_tokens,505.035,505.605,508.68,511.645,508.19,505.445,507.43333333333334
base,eos_rate,0.06,0.055,0.03,0.005,0.03,0.05,0.03833333333333334
base,max_tokens_rate,0.94,0.945,0.97,0.995,0.97,0.95,0.9616666666666666
